ticker,Name,Sector,Price,Dividend Yield,5-Year Average Dividend Yield,Dividends Per Share,Market Cap,Trailing PE Ratio,Payout Ratio,Beta,52 Week High,52 Week Low
ALDX,"Aldeyra Therapeutics, Inc.",Healthcare,$5.57,0.0%,0.0%,$0.00,$331,N/A,0.0%,1.65,$7.81,$1.42
ALE,ALLETE INC,Utilities,$63.34,4.5%,4.0%,$2.79,"$3,656",16.5,106.7%,0.55,$64.41,$47.01
ALEC,"Alector, Inc.",Healthcare,$5.30,0.0%,0.0%,$0.00,$517,N/A,0.0%,1.14,$8.90,$3.66
ALEX,"Alexander & Baldwin, Inc.",Real Estate,$19.40,5.0%,3.8%,$0.89,"$1,407",35.0,116.5%,0.80,$20.30,$14.97
ALG,ALAMO GROUP INC,Industrials,$184.18,1.0%,0.4%,$1.00,"$2,223",17.5,9.0%,0.92,$230.78,$157.11
ALGT,Allegiant Travel CO,Industrials,$44.77,5.0%,2.3%,$2.40,$819,N/A,N/A,1.30,$91.45,$36.09
ALHC,"Alignment Healthcare, Inc.",N/A,$9.27,0.0%,0.0%,$0.00,"$1,773",N/A,0.0%,0.98,$10.16,$4.46
ALIT,"Alight, Inc. / Delaware",N/A,$7.15,0.0%,0.0%,$0.00,"$3,907",N/A,0.0%,1.29,$10.38,$6.15
ALKS,Alkermes plc.,Healthcare,$27.94,0.0%,0.0%,$0.00,"$4,602",15.7,0.0%,0.29,$32.88,$20.46
ALKT,"ALKAMI TECHNOLOGY, INC.",N/A,$33.71,0.0%,0.0%,$0.00,"$3,336",N/A,0.0%,1.42,$36.00,$16.43
ALLK,Allakos Inc.,Healthcare,$0.71,0.0%,0.0%,$0.00,$64,N/A,0.0%,0.74,$3.41,$0.63
ALLO,"Allogene Therapeutics, Inc.",Healthcare,$2.61,0.0%,0.0%,$0.00,$546,N/A,0.0%,1.61,$5.78,$2.01
ALNT,ALLIENT INC,N/A,$20.89,1.0%,0.4%,$0.12,$352,18.5,10.3%,1.16,$36.24,$19.00
ALPN,"ALPINE IMMUNE SCIENCES, INC.",Healthcare,$64.99,0.0%,0.0%,$0.00,"$4,160",N/A,0.0%,1.18,,
ALRM,"Alarm.com Holdings, Inc.",Technology,$61.64,0.0%,0.0%,$0.00,"$3,037",28.1,0.0%,0.88,$77.29,$49.70
ALRS,ALERUS FINANCIAL CORP,Financial Services,$22.41,3.6%,3.3%,$0.77,$445,63.1,211.7%,0.66,$25.36,$16.34
ALT,"Altimmune, Inc.",Healthcare,$6.93,0.0%,0.0%,$873.00,$493,N/A,0.0%,0.87,$14.84,$2.09
ALTG,ALTA EQUIPMENT GROUP INC.,Industrials,$6.70,3.0%,1.1%,$0.23,$222,N/A,N/A,1.22,$14.34,$5.35
ALTI,"AlTi Global, Inc.",N/A,$4.80,0.0%,0.0%,$0.00,$649,N/A,0.0%,0.22,$9.22,$3.56
ALTM,Altus Midstream Co,Energy,$2.78,,0.0%,$0.00,N/A,N/A,N/A,-0.61,$7.27,$2.50
ALTR,Altair Engineering Inc.,Technology,$90.43,0.0%,0.0%,$0.00,"$7,675",287.3,0.0%,1.36,$101.39,$57.59
ALVR,"Allovir, Inc.",N/A,$0.75,0.0%,0.0%,$0.00,$87,N/A,0.0%,1.50,$3.45,$0.58
ALX,ALEXANDERS INC,Real Estate,$233.40,8.0%,7.7%,$18.00,"$1,196",23.2,179.2%,0.67,$239.87,$149.58
ALXO,ALX ONCOLOGY HOLDINGS INC,N/A,$2.39,0.0%,0.0%,$0.00,$126,N/A,0.0%,1.68,$17.83,$2.30
AMAL,Amalgamated Financial Corp.,Financial Services,$32.49,1.0%,1.3%,$0.44,$996,10.1,13.1%,0.55,$33.05,$14.92
AMBA,AMBARELLA INC,Technology,$49.89,0.0%,0.0%,$0.00,"$2,044",N/A,0.0%,2.12,$76.36,$39.69
AMBC,AMBAC FINANCIAL GROUP INC,Financial Services,$11.53,0.0%,0.0%,$0.18,$546,15.2,0.0%,0.62,$18.45,$10.12
AMCX,AMC Networks Inc.,Communication Services,$10.42,0.0%,0.0%,$0.00,$460,7.9,117.3%,1.43,$20.97,$8.84
AMEH,Apollo Medical Holdings Inc,Healthcare,$48.15,0.0%,0.0%,$0.00,"$1,915",42.9,107.4%,1.27,$54.27,$28.87
AMK,"AssetMark Financial Holdings, Inc.",Financial Services,$35.05,0.0%,0.0%,$0.00,"$2,622",18.3,0.0%,0.93,$37.54,$22.92
AMKR,"AMKOR TECHNOLOGY, INC.",Technology,$33.36,1.0%,0.6%,$0.31,"$8,222",21.9,20.2%,1.79,$44.86,$17.45
AMLX,"Amylyx Pharmaceuticals, Inc.",N/A,$2.23,0.0%,0.0%,$0.00,$152,N/A,0.0%,0.92,$22.36,$1.58
AMN,AMN HEALTHCARE SERVICES INC,Healthcare,$53.31,0.0%,0.0%,$0.00,"$2,028",20.3,0.0%,0.64,$90.17,$46.74
AMNB,AMERICAN NATIONAL BANKSHARES INC.,Financial Services,$48.05,3.0%,2.2%,$1.50,$508,19.4,48.8%,0.55,,
AMPH,"Amphastar Pharmaceuticals, Inc.",Healthcare,$47.97,0.0%,0.0%,$0.00,"$2,334",14.0,0.0%,0.49,$65.92,$36.56
AMPL,"Amplitude, Inc.",N/A,$8.83,0.0%,0.0%,$0.00,"$1,089",N/A,0.0%,1.62,$14.42,$7.37
AMPS,"Altus Power, Inc.",N/A,$3.06,0.0%,0.0%,$0.00,$492,21.1,138.2%,0.69,$7.28,$2.80
AMPX,"Amprius Technologies, Inc.",N/A,$1.13,0.0%,0.0%,$0.00,$127,N/A,0.0%,1.47,$6.02,$1.01
AMPY,Amplify Energy Corp.,Energy,$7.14,0.0%,1.5%,$0.50,$284,10.6,0.0%,0.66,$8.15,$3.56
AMR,"Alpha Metallurgical Resources, Inc.",N/A,$226.02,1.0%,0.2%,$2.36,"$2,946",6.5,5.1%,0.48,$452.00,$189.82
AMRC,"Ameresco, Inc.",Industrials,$29.71,0.0%,0.0%,$0.00,"$1,555",27.3,5.5%,1.72,$47.56,$17.55
AMRK,"A-Mark Precious Metals, Inc.",Financial Services,$37.58,5.0%,3.6%,$1.80,$860,6.9,33.6%,1.16,$42.16,$22.73
AMRX,"Amneal Pharmaceuticals, Inc.",Healthcare,$8.38,0.0%,0.0%,$0.00,"$2,594",N/A,N/A,1.21,$8.40,$3.36
AMSF,AMERISAFE INC,Financial Services,$49.36,3.0%,7.3%,$1.42,$941,16.5,165.4%,0.36,$53.95,$41.75
AMSWA,AMERICAN SOFTWARE INC,Technology,$11.06,4.0%,4.3%,$0.44,$368,32.4,131.2%,0.92,$12.07,$8.32
AMTB,Amerant Bancorp Inc.,Financial Services,$22.11,2.0%,1.0%,$0.36,$739,36.0,62.4%,0.68,$26.88,$16.35
AMWD,AMERICAN WOODMARK CORP,Consumer Cyclical,$100.07,0.0%,0.0%,$0.45,"$1,555",13.4,0.0%,1.16,$106.57,$65.01
AMWL,American Well Corp,N/A,$9.01,0.0%,0.0%,$0.00,$135,N/A,0.0%,1.96,$33.40,$5.00
ANAB,"ANAPTYSBIO, INC",Healthcare,$37.72,0.0%,0.0%,$0.00,"$1,036",N/A,0.0%,0.51,$41.31,$13.36
ANDE,"Andersons, Inc.",Consumer Defensive,$49.96,1.5%,1.5%,$0.75,"$1,700",16.6,54.8%,0.64,$61.22,$44.60
ANF,ABERCROMBIE & FITCH CO /DE/,Consumer Cyclical,$169.83,0.0%,0.1%,$0.80,"$8,679",20.4,0.0%,1.31,$196.99,$49.11
ANGO,ANGIODYNAMICS INC,Healthcare,$7.69,0.0%,0.0%,$0.00,$309,N/A,0.0%,0.40,$8.73,$5.26
ANIK,"Anika Therapeutics, Inc.",Healthcare,$25.51,0.0%,0.0%,$0.00,$379,N/A,0.0%,0.73,$29.12,$16.54
ANIP,ANI PHARMACEUTICALS INC,Healthcare,$61.72,0.0%,0.0%,$0.00,"$1,298",51.1,6.0%,0.72,$70.81,$48.20
ANNX,"Annexon, Inc.",N/A,$5.88,0.0%,0.0%,$0.00,$865,45.4,0.0%,1.15,$8.40,$1.57
AOMR,"Angel Oak Mortgage REIT, Inc.",N/A,$11.11,12.0%,6.6%,$1.28,$260,5.2,64.6%,1.20,$12.96,$6.80
AORT,"ARTIVION, INC.",N/A,$26.20,0.0%,0.0%,$0.12,"$1,098",N/A,0.0%,1.43,$29.24,$12.16
AOSL,ALPHA & OMEGA SEMICONDUCTOR Ltd,Technology,$38.31,0.0%,0.0%,$0.00,"$1,111",N/A,0.0%,1.78,$47.45,$19.38
APAM,Artisan Partners Asset Management Inc.,Financial Services,$42.08,6.3%,7.5%,$2.31,"$3,381",14.4,62.0%,1.43,$45.33,$29.86
APG,APi Group Corp,N/A,$35.77,0.0%,0.0%,$0.00,"$9,823",N/A,0.0%,1.37,$39.98,$24.61
APGE,"Apogee Therapeutics, Inc.",N/A,$48.24,0.0%,0.0%,$0.00,"$2,828",N/A,0.0%,1.78,$72.29,$14.19
APLD,Applied Digital Corp.,Industrials,$4.56,0.0%,0.0%,$0.00,$524,N/A,0.0%,2.97,$8.65,$2.36
APLE,"Apple Hospitality REIT, Inc.",Real Estate,$14.51,6.6%,4.2%,$0.96,"$3,491",16.8,114.9%,0.90,$17.13,$13.44
APOG,"APOGEE ENTERPRISES, INC.",Industrials,$67.16,1.5%,1.4%,$0.99,"$1,475",13.8,14.8%,1.06,$70.64,$40.49
APPF,APPFOLIO INC,Technology,$229.35,0.0%,0.0%,$0.00,"$8,323",66.6,0.0%,1.18,$274.56,$164.29
APPN,APPIAN CORP,Technology,$31.43,0.0%,0.0%,$0.00,"$2,275",N/A,0.0%,1.81,$52.99,$26.28
